id,name,district,coordinates,category,vibes,environmental_tags,demographic_tags,summary_desc,facilities_desc,tips_desc,price_level,best_time,transport
acwd001,Kennedy Town New Praya,Central & Western,"22.283587, 114.125840",Nature & Scenary,Local Favorites,Outdoor,Tourist Friendly,"Kennedy Town New Praya is a charming neighborhood blending vintage architecture with modern amenities, offering a balance of history and contemporary life. It’s a popular spot for locals and tourists alike, providing a relaxed atmosphere with waterfront views and diverse dining options.","The location offers MTR access via the Kennedy Town station.  A short walk leads to the Kennedy Town basketball court, offering a vantage point for observing the harbor.  There is a %Arabica coffee shop with a grand view to the harbor.  The area is also known for its local eateries and hip coffee shops.  Walking along the waterfront is a popular activity.","For a truly local experience, explore the Kennedy Town area. Enjoy the diverse dining options and the waterfront views.  Be mindful of the area during peak hours to avoid crowds.",,,
acwd002,Sai Wan Swimming Shed,Central & Western,"22.2798456, 114.1175181",Nature & Scenery,"Chill, Insta-Worthy",Outdoor,"Tourist Friendly, Couples","A beautiful lookout for sunset views, offering stunning coastal scenery and a chance to capture iconic views.","The location offers a wooden pier for walking and exploring. There are two staircases leading down to the pier, guiding you directly to the pier.","Enjoy the sunset from the wooden pier. Take the stairs down to the pier for a unique experience. Be aware that the location can be popular, so expect a short wait for photos.",,,
acwd003,Sunset Seaview Pavillion,Central & Western,"22.2741043, 114.1171927",Nature & Scenery,Chill,"Outdoor, Scenic",Tourist Friendly,"Hong Kong offers a tranquil spot to witness stunning sunsets, particularly in a secluded area with limited crowds. A short walk down a staircase leads to a pavilion offering unobstructed views. Nearby, a large boat passage can be observed.","The location offers a scenic view and is easily accessible via a 5B bus station.  A short walk down the stairs leads to a viewpoint.   There are multiple levels of stairs, with the UChicago campus accessible via a short walk.","Be mindful of snakes roaming around the area, particularly on the path down to the pavilion. Wear protective gear against insects.  The stairs can be slippery, so exercise caution.",,,
acwd004,Hong Kong Observation Wheel,Central & Western,"22.285354, 114.161736",Recreation & Activities,"Local Favorites, Insta-Worthy",Budget,"Tourist Friendly, Couples, Family Friendly, Elderly Friendly, Pet Friendly","The Hong Kong Observation Wheel is a lovely spot to enjoy the skyline, both day and night. The location is perfect — right by Victoria Harbour — offering panoramic views of Hong Kong Island, Kowloon, and the surrounding lights.","The ride is smooth and lasts around 15 minutes, giving you enough time to enjoy the scenery and take photos. The cabins are air-conditioned and comfortable, making it pleasant even on warm days. Staff are friendly and the ticket price is reasonable compared to the experience. It’s great for families, couples, or anyone who loves city views.","If you're in Hong Kong, even just for a few hours, this is a fun and easy way to take in the city from above. Definitely recommend i!t",,,
acwd005,Barker Road Viewing Point,Central & Western,"22.271291, 114.157525",Nature & Scenery,"Insta-Worthy, Hidden",Outdoor,"Tourist Friendly, Solo Travelers","Barker Road Viewing Point offers breathtaking panoramic views of Victoria Harbour, particularly popular with cyclists and motorcyclists. The location is a vibrant spot for capturing scenic moments and connecting with fellow enthusiasts. While traffic can occasionally disrupt the tranquility, the overall atmosphere is excellent.","The viewing point offers direct access to the Victoria Harbor view. There is a roadside photo opportunity with a magnificent harbor view. A short cycling route is available from Admiralty to the Peak, offering less traffic and a more peaceful experience. The area is accessible by bicycle and offers a scenic route through the quick road.","For optimal views, arrive early in the morning or late in the afternoon to avoid peak traffic. Bring a camera to capture the stunning scenery. Consider cycling to the Peak for a quieter experience.",,,
acwd006,Hong Kong Museum of Medical Sciences,Central & Western,"22.283415, 114.148558",Heritage & Culture,Local Favorites,Indoor,"Tourist Friendly, Family Friendly","The Hong Kong Museum of Medical Sciences is a historical museum showcasing the evolution of medical science in Hong Kong, from the 19th century to the present day. It offers a comprehensive look at the history of medical practices, equipment, and research, including exhibits on the history of the plague, early medical techniques, and the development of Chinese medicine. The museum’s location in the Mid Levels of Hong Kong provides a unique setting, blending Western and traditional architectural elements.","The museum features a large exhibition hall with interactive exhibits, including a simulated surgery experience, a display of medical equipment, and a presentation on the history of the plague. There is also a dedicated area for Chinese medicine exhibits, including a 3D Acu-Man exhibition.","To get the best experience, take the MTR to Sheung Wan or Sai Ying Pun stations. The museum is open Tuesday to Saturday, 10 am to 5 pm, and Sunday and public holidays are open until 5 pm. Be prepared for a walk up a hill to reach the museum.",,,
acwd007,Lan Kwai Fong,Central & Western,"22.280879, 114.155398",Recreation & Activities,Chill,Indoor,"Tourist Friendly, Solo Travelers","Lan Kwai Fong is a vibrant, energetic hub in Hong Kong's Central district, known for its diverse range of bars, clubs, and restaurants. It's a popular destination for tourists and locals alike, offering a lively atmosphere and a wide selection of entertainment. The area is known for its pubs, and a historic prison is located nearby.","The area boasts a wide array of amenities, including numerous bars, nightclubs, cocktail bars, and restaurants. Visitors can easily access MTR stations, including Central Station Exit D1, and walk along Pedder Street and Wyndham Street. Taxi services are readily available. There are also art galleries and restaurants to visit during the day.","For a truly immersive experience, explore the area after 9:30 PM, especially on Friday and Saturday nights. Be prepared for crowds and a high level of energy.  If you're looking for a relaxing evening, consider visiting during the day to explore the local art galleries and restaurants.  Be aware of the potential for sleazy behavior and prioritize your safety.  Enjoy the vibrant nightlife and embrace the local culture.",,,
acwd008,Tai Kwun,Central & Western,"22.281552, 114.154078",Heritage & Culture,Retro/Nostalgic,"Indoor, Budget","Tourist Friendly, Family Friendly","Tai Kwun, a heritage-arts venue and living record of the legal system in Hong Kong, offers a unique blend of history, art, and culture. Located in Central, it features 16 revitalized buildings, including the former Central Police Station and Magistracy, and is home to interactive exhibits and a diverse range of activities. Visitors can explore the justice system history, enjoy a mix of art, music, and theatre, and experience a vibrant atmosphere.","Tai Kwun offers a variety of facilities, including shops, restaurants, exhibitions, and interactive exhibits. The complex includes 3 major heritage properties: Former Central Police Station, Former Central Magistracy, and Former Victoria Prison. Visitors can explore the former Central Police Station, the former Central Magistracy, and the former Victoria Prison, all declared monuments in Hong Kong. The complex includes a large space for exhibitions, and a variety of food and drink outlets. The complex includes a new JC Contemporary also within the compound.","Visit the museum to learn about the history of the legal system and the justice system. Take a walk around the complex to see the different buildings and historical sites. Be sure to allow ample time to explore the different sections and attractions. The complex is large, so plan your route in advance.",,,
acwd009,Central Market,Central & Western,"22.284051, 114.155443",Urban & Architecture,"Local Favorites, Retro/Nostalgic",Indoor,"Tourist Friendly, Family Friendly, Solo Travelers, Elderly Friendly","Hong Kong's historic street market, once a bustling commercial hub, has been revitalized into a vibrant and engaging public space.  This landmark, preserved as a 'Playground For All', now offers a unique blend of traditional heritage and modern design, attracting visitors seeking a memorable cultural experience.","The market features numerous food stalls, artisanal shops, and cafes.  There are several shops selling unique clothing, jewelry, and handmade goods.  The ground floor offers a variety of dining options and drinks.  The upper floors house exhibition spaces and quirky shops like Tiny HK.  A quick link to the mid-levels escalator is readily available.","Explore the market's diverse offerings, from local street food to handcrafted goods.  Take your time to wander through the stalls and soak in the atmosphere.  Don't be afraid to strike up conversations with vendors and locals.  Enjoy a leisurely meal and a refreshing drink.",,,
acwd010,Hong Kong Zoological and Botanical Gardens,Central & Western,"22.277695, 114.156412",Recreation & Activities,"Chill, Local Favorites","Outdoor, Free","Family Friendly, Solo Travelers","The Hong Kong Zoological and Botanical Gardens is a free to enter park and botanical garden in Hong Kong, offering a peaceful escape in the heart of the city while promoting education and conservation efforts. It features a diverse range of plants and animals, including primates, birds, and mammals, and provides a unique experience for families, tourists, and nature enthusiasts. The park is known for its beautiful greenery, wildlife, and accessible pathways.","The park offers a variety of facilities, including walking paths, arboretum, and a green house. Visitors can enjoy walking around before getting on the Peak tram, observing animals and birds, and relaxing in the peaceful atmosphere. The park is hilly, so come rested.","Visit during mornings and afternoons for quieter experiences. The zoo is free, and it's a great place to explore different species of animals and plants.  The park is a great place to relax and escape the hustle and bustle of the city.",,,
